GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PvZ-ECI,domain.economy,Brain,0,9,0,0,0,4,0,2,0,2
PvZ-ECI,domain.economy,Sun,0,16,0,2,0,6,0,3,0,2
PvZ-ECI,domain,Game,75,451,7,57,25,90,8,48,2,18
PvZ-ECI,domain,PvZExceptions,0,4,0,0,0,2,0,1,0,1
PvZ-ECI,domain,POOmBas,50,88,5,5,11,18,5,3,0,3
PvZ-ECI,domain,Pea,4,136,2,8,2,27,2,6,0,3
PvZ-ECI,domain,LawnMower,33,0,4,0,9,0,5,0,3,0
PvZ-ECI,domain,Shovel,0,23,0,2,0,7,0,3,0,2
PvZ-ECI,domain.players,Machine,3,0,0,0,1,0,1,0,1,0
PvZ-ECI,domain.players,Human,3,0,0,0,1,0,1,0,1,0
PvZ-ECI,domain.plants,ECIPlant,4,54,0,2,3,21,0,5,0,4
PvZ-ECI,domain.plants,Peashooter,0,74,1,3,0,22,1,6,0,5
PvZ-ECI,domain.plants,WallNut,0,19,0,0,0,7,0,1,0,1
PvZ-ECI,domain.plants,PotatoMine,50,58,3,1,11,22,3,5,1,5
PvZ-ECI,domain.plants,Sunflower,10,54,0,2,5,21,0,5,0,4
PvZ-ECI,domain.plants,Plant,0,44,1,1,0,14,1,7,0,7
PvZ-ECI,domain.zombies,Brainstein,9,77,3,5,5,20,3,4,0,3
PvZ-ECI,domain.zombies,ConeHead,0,22,0,0,0,8,0,1,0,1
PvZ-ECI,domain.zombies,Basic,0,22,0,0,0,8,0,1,0,1
PvZ-ECI,domain.zombies,Zombie,10,147,4,10,5,34,4,13,0,10
PvZ-ECI,domain.zombies,BucketHead,0,22,0,0,0,8,0,1,0,1
PvZ-ECI,domain.zombies,ECIZombie,0,74,2,2,0,22,2,5,0,5
